,Intensidad,Magnitud,GAP
0,4.3,4.5,65.0
1,2.0,4.5,65.0
2,2.0,5.0,31.0
3,4.3,5.0,65.0
4,6.7,6.0,36.0
5,4.8,4.8,62.0
6,3.7,4.8,131.0
7,2.0,4.6,67.0
8,3.4,4.6,77.0
9,4.1,5.1,64.0
10,3.4,4.4,73.0
11,4.1,4.4,79.0
12,3.0,4.4,73.0
13,3.4,4.7,61.0
14,4.6,5.7,51.0
15,4.6,6.8,17.6
16,3.1,4.5,83.0
17,2.5,5.0,72.0
18,4.1,5.5,29.0
19,4.6,4.3,90.0
20,3.9,4.8,138.9
21,3.1,5.1,24.0
22,4.8,5.1,67.2
23,1.0,4.2,88.0
24,5.9,5.0,31.0
25,3.4,4.8,54.0
26,2.0,4.6,72.0
27,4.3,4.6,17.0
28,4.6,5.1,26.4
29,4.1,4.7,28.0
30,3.8,4.7,24.0
31,3.8,6.7,22.0
32,8.0,7.2,50.2
33,4.7,4.5,59.0
34,1.0,4.5,108.0
35,2.7,4.5,85.0
36,3.1,4.5,100.0
37,2.2,4.5,107.0
38,1.0,4.5,51.0
39,1.0,4.5,70.0
40,1.0,4.5,62.0
41,2.0,4.5,64.0
42,1.0,4.5,60.0
43,5.1,5.0,25.0
44,2.0,5.0,53.0
45,2.5,5.0,41.0
46,5.8,5.0,50.0
47,2.5,5.0,59.6
48,4.8,5.5,21.0
49,2.0,4.3,102.0
50,3.9,4.3,123.2
51,2.5,4.8,58.0
52,4.6,4.8,90.0
53,3.8,4.8,52.1
54,4.3,4.6,47.0
55,3.4,5.1,31.0
56,2.7,4.4,84.0
57,3.8,4.4,62.0
58,4.3,4.4,102.0
59,1.0,4.4,53.0
60,1.0,4.4,94.0
61,1.0,4.4,122.0
62,2.4,4.9,132.0
63,2.5,4.9,94.0
64,3.4,4.9,55.0
65,4.1,4.9,51.0
66,1.0,4.2,65.0
67,6.2,4.7,50.0
68,2.6,4.7,94.0
69,2.7,4.7,106.0
70,4.1,4.7,62.0
71,1.0,4.7,56.0
72,4.2,5.2,24.0
73,5.0,5.2,57.4
74,2.4,5.7,48.0
75,2.7,6.2,45.5
76,6.7,7.3,15.5
77,3.8,4.5,85.0
78,2.9,4.5,78.0
79,5.3,5.0,73.0
80,3.1,5.0,61.0
81,5.7,5.5,47.0
82,3.4,4.6,76.0
83,3.8,4.6,110.0
84,6.6,5.1,40.0
85,5.0,5.6,67.0
86,5.2,5.6,35.0
87,3.1,4.4,91.0
88,2.0,4.4,100.0
89,3.4,4.9,66.0
90,3.8,4.7,100.0
91,1.0,4.4,56.0
92,4.1,5.4,24.0
93,2.2,4.5,65.0
94,2.0,4.3,52.0
95,1.0,4.6,63.0
96,3.4,5.1,56.0
97,4.3,4.4,74.0
98,3.4,4.7,54.0
99,4.4,5.2,29.0
100,5.0,5.3,21.0
101,2.9,4.6,87.0
102,3.9,4.4,54.0
103,3.8,3.4,177.0
104,4.3,3.2,161.0
105,5.2,6.9,23.7
106,5.2,4.0,99.0
107,1.0,4.0,93.0
108,3.8,4.5,81.0
109,3.1,5.0,52.0
110,1.0,4.3,177.0
111,2.0,4.6,140.0
112,5.6,4.9,42.0
113,1.0,4.9,54.0
114,2.0,4.2,155.0
115,1.0,4.2,140.0
116,3.6,4.7,42.0
117,1.0,4.7,51.0
118,2.0,5.2,29.0
119,3.1,5.7,51.0
